timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_percent,process_count,network_io,load_average
2026-02-11T18:26:24.908976,9.1,92.5,14.516490936279297,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.3, 0.46, 0.4)"
2026-02-11T18:26:26.019705,2.5,93.1,14.611343383789062,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.3, 0.46, 0.4)"
2026-02-11T18:26:27.133422,23.7,93.7,14.70767593383789,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.3, 0.46, 0.4)"
2026-02-11T18:26:28.247073,0.0,94.3,14.807727813720703,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.28, 0.46, 0.4)"
2026-02-11T18:26:29.375772,0.0,95.0,14.910881042480469,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.28, 0.46, 0.4)"
2026-02-11T18:26:30.504907,1.6,95.7,15.024730682373047,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.28, 0.46, 0.4)"
2026-02-11T18:26:31.618188,21.4,95.7,15.024784088134766,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.28, 0.46, 0.4)"
2026-02-11T18:26:32.732281,3.2,96.6,15.158607482910156,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.28, 0.46, 0.4)"
2026-02-11T18:26:33.860569,9.5,96.6,15.168567657470703,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.25, 0.45, 0.4)"
2026-02-11T18:26:34.975138,7.4,96.3,15.113460540771484,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.25, 0.45, 0.4)"
2026-02-11T18:26:36.089128,23.9,98.0,15.378582000732422,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.25, 0.45, 0.4)"
2026-02-11T18:26:37.202501,44.9,96.8,15.188674926757812,15.698810577392578,66.4,324,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.25, 0.45, 0.4)"
2026-02-11T18:26:38.327763,57.3,94.6,14.853919982910156,15.698810577392578,66.4,324,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.23, 0.44, 0.4)"
2026-02-11T18:26:39.459724,51.4,90.8,14.246902465820312,15.698810577392578,66.4,324,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.23, 0.44, 0.4)"
2026-02-11T18:26:40.589292,45.9,87.4,13.714313507080078,15.698810577392578,66.4,324,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.23, 0.44, 0.4)"
2026-02-11T18:26:41.703649,32.1,81.2,12.741756439208984,15.698810577392578,66.4,324,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.23, 0.44, 0.4)"
2026-02-11T18:26:42.817275,42.4,78.5,12.31894302368164,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.21, 0.43, 0.4)"
2026-02-11T18:26:43.947003,53.5,78.4,12.310802459716797,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.21, 0.43, 0.4)"
2026-02-11T18:26:45.062081,18.8,78.4,12.309955596923828,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.21, 0.43, 0.4)"
2026-02-11T18:26:46.185990,22.6,78.4,12.31350326538086,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.21, 0.43, 0.4)"
2026-02-11T18:26:47.299579,64.4,78.4,12.31411361694336,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.21, 0.43, 0.4)"
2026-02-11T18:26:48.413342,45.8,78.5,12.316761016845703,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.2, 0.43, 0.39)"
2026-02-11T18:26:49.527858,38.8,78.8,12.373939514160156,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.2, 0.43, 0.39)"
2026-02-11T18:26:50.641373,25.0,78.9,12.386287689208984,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.2, 0.43, 0.39)"
2026-02-11T18:26:51.753835,13.4,79.0,12.400093078613281,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.2, 0.43, 0.39)"
2026-02-11T18:26:52.868443,60.0,79.0,12.407440185546875,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.18, 0.42, 0.39)"
2026-02-11T18:26:53.997399,24.7,79.0,12.405498504638672,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.18, 0.42, 0.39)"
2026-02-11T18:26:55.111599,12.5,79.0,12.405235290527344,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.18, 0.42, 0.39)"
2026-02-11T18:26:56.249591,21.2,79.2,12.440479278564453,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.18, 0.42, 0.39)"
2026-02-11T18:26:57.366967,61.0,79.2,12.439689636230469,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.18, 0.42, 0.39)"
2026-02-11T18:26:58.481355,35.7,79.2,12.441307067871094,15.698810577392578,66.4,325,"{'bytes_sent': 2134032, 'bytes_recv': 2294682, 'packets_sent': 10143, 'packets_recv': 7122, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}","(0.17, 0.41, 0.39)"
